One-Pan Garlic Parmesan Chicken And Vegetables; One-Pan Garlic Parmesan Chicken And Vegetables;|Serves 2||2 chicken breasts||2 small broccoli crowns||4 medium red potatoes||¼ cup olive oil||2 teaspoons sea salt (or kosher salt)||2 teaspoons black pepper||2 teaspoons onion powder||1 teaspoon paprika||2 cloves garlic, crushed||⅓ cup parmesan cheese, shredded or grated|||;|1. Preheat oven to 400˚F/200˚C.||2. Cut broccoli and potatoes into small pieces and place on either side of a sheet tray. ||3. Place two whole chicken breasts in the middle of the sheet tray. ||4. Drizzle the vegetables and chicken with olive oil (all but 1 tablespoon). ||5. In a small bowl, blend the salt, pepper, onion powder, and paprika. ||6. Evenly sprinkle the spice mixture over the veggies and both sides of the chicken. (TIP! Save any excess spice mix for next time.)||7. Lightly mix the veggies on the pan with your hands to coat with the spices.||8. Rub the top of the chicken breast with crushed garlic, then sprinkle the parmesan cheese evenly over the chicken and vegetables. ||9. Bake for 20-25 minutes, or until the chicken’s internal temperature reaches 165ºF/75ºC.||10. Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-09/16/14/asset/buzzfeed-prod-fastlane03/sub-buzz-26802-1474049468-1.jpg?resize=625:781;https://img.youtube.com/vi/UghVd44HptI/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=UghVd44HptI", "id":"4357673_9632698", "length":"No image found", "published":"2016-09-16 14:39:47"}}
Chicken And Asparagus Pasta; Chicken and Asparagus Penne;|Servings: 6-8||1 pound penne pasta||2 tablespoons olive oil and ¼ cup olive oil||4 cloves garlic, diced||1 pound chicken breasts, cubed||Salt, to taste ||Pepper, to taste||½ cup chicken broth||1 pound asparagus||1 cup grated parmesan cheese||2 cups cherry or grape tomatoes|||;|1. In a pot, cook pasta according to package instructions, drain, then set aside.||2. In the same pot, heat 2 tablespoons olive oil and sauté 2 garlic cloves. Add chicken breasts, season with salt and pepper, and fully cook. Remove cooked chicken from pot and set aside.||3. In the same pot, pour the chicken broth, then add asparagus, salt, pepper, and the remaining garlic and stir. Cover and reduce heat to a simmer for 5 minutes.||4. Add cooked chicken, penne, ¼ cup olive oil, parmesan, and tomatoes, and stir until fully incorporated and the cheese has melted. ||5. Serve while hot.||6.Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-08/29/13/asset/buzzfeed-prod-fastlane01/sub-buzz-5174-1472491342-1.jpg?resize=625:781;https://img.youtube.com/vi/l_rwz8DQ8_M/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=l_rwz8DQ8_M", "id":"4345310_9541884", "length":"54", "published":"2016-08-31 14:34:49"}}
Grilled Citrus Salmon And Asparagus; Grilled Citrus Salmon and Asparagus;|Servings: 2||2 salmon fillets||¼ cup olive oil||Salt, to taste||Pepper, to taste||3 lemons (1 juiced, 2 sliced)||2 cloves garlic, minced||3 sprigs rosemary (1 for marinade, 2 for grilling)||1 sprig thyme||1 pound asparagus||Garnish:||Parsley|||;|1. In a resealable bag or dish, add salmon, olive oil, salt, pepper, juice of one lemon, minced garlic, one thyme sprig, and one rosemary sprig. ||2. Seal, mix marinade around, being careful not to bruise the fish, and allow to marinate in the refrigerator for at least one hour.||3. Preheat only half of the grill to medium-high heat for indirect grilling.||4. Slice the two remaining lemons horizontally, so that you get six slices of lemon from each one, excluding the top and bottom. ||5. Bend each piece of asparagus until the woody end snaps off and discard it.||6. Oil the grill with olive oil and place lemon slices over indirect heat (the side of the grill where the burners are not on). ||7. Lay salmon on top of the lemon slices and top with a sprig of rosemary on each fillet.||8. Close the cover and grill for 20 minutes.||9. Place the asparagus spears on the grill and brush with olive oil. Grill for 5 additional minutes.||10. Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-08/31/16/asset/buzzfeed-prod-fastlane03/sub-buzz-28338-1472676059-1.jpg?resize=625:781;https://img.youtube.com/vi/tREWCmjiN3s/2.jpg;{"progload_video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=tREWCmjiN3s", "id":"4347144_9558841", "length":"No image found", "published":"2016-09-03 15:17:53"}}
Grilled Salmon With Avocado Salsa; Grilled Salmon With Avocado Salsa;|For the salmon:||1 Tbsp. olive oil||1 tsp salt||1 tsp pepper||1 tsp paprika||4 salmon fillets||For the avocado salsa:||2 avocados||1/4 red onion||1 lime, juiced||1 Tbsp. olive oil||1 1/2 tsp salt||Optional:||Chopped cilantro (for garnish)|||;|1. In a large bowl, mix oil, salt, pepper, and paprika. Coat the salmon fillets with the marinade and refrigerate for 30 minutes.||2. Grill the salmon on high heat for two minutes each side.||3. In a separate bowl, lightly toss avocados, 1/4 red onion, the juice from one lime, 1 Tbsp. olive oil and salt to taste.||4. Spoon avocado salsa on top of the cooked salmon. Top with finely cut cilantro and enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-04/15/15/enhanced/webdr05/enhanced-29310-1460750390-1.jpg;https://img.youtube.com/vi/oY3S6acQ9lE/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=oY3S6acQ9lE", "id":"4215228_8453218", "length":"", "published":"2016-04-15 16:04:24"}}
Vietnamese-Style Banh Mi Meatball Sandwich; Vietnamese-Style Banh Mi Meatball;|For the pickled Carrot and Daikon:||1 1/2 cups of daikon radish||1 1/2 cups of carrots||2 jalapeños ||2 Tbsp. of sugar||1/2 tsp of salt||2 tsp of sesame oil||3 Tbsp. of rice vinegar||For the meatballs:||1 lb of ground pork||2 tbsp of chopped cilantro, basil or parsley||1 scallion, chopped||3 cloves of garlic, minced||1 Tbsp. of fish sauce||1 Tbsp. of Sriracha||2 tsp of sugar||Salt and pepper to taste||1 Tbsp. of cornstarch||For the sandwich:||Baguette||Sriracha mayo||Cilantro|||;|Combine the pickled carrot and daikon ingredients in a mixing bowl. Set aside and let them pickle for at least an hour. ||Combine all of the banh mi meatball ingredients in a large mixing bowl. Form ping pong sized meatballs. Pan fry until browned on all sides and cooked all the way through.||Put together the sandwich. Smear a layer of Sriracha mayo on one half of the baguette, add the meats, a few of the pickled carrots and daikon and some fresh cilantro. Top with other half of baguette. Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-04/15/15/enhanced/webdr07/enhanced-25810-1460747434-1.jpg;https://img.youtube.com/vi/mkfD1TV3S-w/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=mkfD1TV3S-w", "id":"4215190_8452793", "length":"No image found", "published":"2016-04-15 15:14:50"}}
Chicken Fajita Salad; Chicken Fajita Salad;|Serves 2||2 Tbsp. canola oil||1 boneless, skinless chicken breast||1 red bell pepper, thinly sliced||1 yellow bell pepper, thinly sliced||1 medium onion, thinly sliced||1 tsp salt||1 tsp chili powder||1 tsp cumin||1 tsp garlic powder||3 Tbsp. olive oil||3 Tbsp. lime juice||1 tsp brown sugar||1 tsp chili flakes||1 tsp salt||1 head romaine lettuce, chopped||1 avocado, sliced|||;|Heat the oil in a pan over medium-high heat. Cook the chicken, bell peppers, onion, salt, chili powder, cumin, and garlic powder for five minutes, stirring constantly. Flip the chicken, and cook for another five minutes, until chicken is cooked and vegetables are slightly soft. Remove from heat and slice the chicken into strips.||In a small bowl, combine the olive oil, lime juice, brown sugar, chili, and salt, stirring until evenly mixed.||In a large bowl, toss the romaine lettuce with the chicken, peppers & onions, avocado, and dressing. Serve!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-04/19/16/enhanced/webdr12/enhanced-18014-1461099246-2.jpg;https://img.youtube.com/vi/H0OY-Exwia4/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=H0OY-Exwia4", "id":"4221897_8480761", "length":"57", "published":"2016-04-19 19:29:13"}}
Peking Duck-Inspired Burritos; It’s time to fuse it up! This recipe from ;|Yields 12 burritos||||4 duck breasts||1 Tbsp. of oil||1/4 tsp of salt||2 cloves of garlic||1 tsp of soy sauce||1 tsp of rice wine||1 tsp of five-spice powder||Another 1 Tbsp. of oil||Cooked rice||Cucumbers||Scallions||Hoisin sauce||Flour tortillas|||||;|Rub oil, salt, garlic, soy sauce, rice wine, and five-spice powder into the duck breasts. Let it marinate for 30 minutes.||Add one Tbsp. of oil to a hot skillet over medium heat. Add the duck breasts skin side down, cook until the skin is browned and crispy (can take up to 8-10 minutes, depending on your heat). Flip the duck so skin side is up. Place the skillet under the broiler for five minutes to further crisp the skin. Be careful not to burn the skin. Remove from oven and let it rest for five minutes before slicing. ||Wrap the burrito. Spread hoisin sauce over the flour tortilla, layer on the rice, duck slices, cucumbers, and scallions. Wrap it all up and enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-02/18/12/enhanced/webdr02/enhanced-26010-1455817481-7.jpg;https://img.youtube.com/vi/cvAhBmVdtnw/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=cvAhBmVdtnw", "id":"4160083_8030729", "length":"53", "published":"2016-02-18 14:48:37"}}
Net Pancakes (Roti Jala); Get creative and make some net pancakes, aka roti jala.;|||2 cups flour||1 cup water||1 cup coconut milk||2 eggs||1 tsp salt||1 tsp turmeric ||Vegetable oil||Plastic water bottle||Sharp pointed knife|||||;|In a medium bowl, whisk together the flour, water, coconut milk, eggs, salt, and turmeric until smooth. (If any clumps remain, run mixture through a sieve.) ||Using a sharp-pointed knife (a corkscrew or nail works just as well), poke three holes in the cap of a plastic water bottle. Fill the bottle with your pancake batter. ||Heat a very lightly greased nonstick skillet over medium heat. Working quickly, invert the water bottle and drizzle the batter in quick circular motions forming a netlike pattern. ||Allow the pancake to cook for one to two minutes. Do not flip and watch closely so it doesn’t burn. ||Remove from pan, fold in the sides, and roll up. Serve with curry. Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-02/8/14/enhanced/webdr08/enhanced-28027-1454960102-7.jpg;https://img.youtube.com/vi/HCMrudOt5Jc/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=HCMrudOt5Jc", "id":"4149531_7955309", "length":"52", "published":"2016-02-08 15:45:35"}}
Easy Chicken Piccata; Here’s an easy and quick dinner with fewer than 10 ingredients!;|Yields: 2 servings||||1 large boneless skinless chicken breast||Salt & pepper||Flour||3 Tbsp. butter||1/2 cup chicken broth||Juice of 1 lemon||2 Tbsp. capers|||||;|Butterfly the chicken breast. Salt and pepper to taste. Dredge each piece in flour, shaking off the excess. In a skillet on high heat, melt three Tbsp. butter, and brown the chicken, the browner and crispier the better, 3–5 minutes on each side. Remove chicken from the skillet, and, in the same pan, add chicken stock, lemon, and capers. Boil until the sauce reduces by 1/3, and return the chicken to the skillet. Spoon sauce over the chicken several times. Serve immediately, with the remaining sauce poured over the chicken.|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-02/3/12/enhanced/webdr02/enhanced-12201-1454521283-1.jpg;https://img.youtube.com/vi/tfgBKBs5Pn4/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=tfgBKBs5Pn4", "id":"4144549_7919465", "length":"48", "published":"2016-02-03 15:04:39"}}
Chocolate Chip Banana Monkey Bread 🍌; Chocolate Chip Banana Monkey Bread;|Serves 10-12||3 bananas, (1 cut into coins, 2 cut into half-coins) ||1 cup dark chocolate chips||3 cans biscuit dough ||1 cup sugar ||3 teaspoons cinnamon ||Glaze||2 sticks butter ||1/2 cup brown sugar||Garnish||Banana Coins ||Dark chocolate chips|||;|1. Preheat oven to 350˚F/180˚C. ||2. Cut 2 bananas into coins and again in half, set aside.||3. In a bowl mix sugar and cinnamon, set aside.||4. Cut each biscuit round in half and flatten into rounds. ||5. Stuff each round with one piece of the halved banana coins and chocolate chips. ||6. Close the round together by pinching at the seam and roll into a ball in your hands||7. Place the balls in the cinnamon sugar mix and gently toss to coat.||8. In a saucepan over medium heat melt the butter and brown sugar until one, stirring occasionally. Set aside to cool.||9. Grease a bundt pan and line the bottom with full banana coins.||10. Layer half of the balls in the pan and pour half of the glaze on top.||11. Sprinkle a handful of chocolate chips over top.||12. Repeat steps 10 and 11.||13. Bake for 40-50 minutes until the crust is a deep dark brown on top. (if the top is browning too much you can cover it with aluminum foil.)||14. Remove from oven and allow it to cool or about 15-30 minutes before turning it over onto a plate.||15. Enjoy!|||;https://img.buzzfeed.com/buzzfeed-static/static/2016-09/15/20/asset/buzzfeed-prod-fastlane01/sub-buzz-12276-1473986857-2.jpg?resize=625:781;https://img.youtube.com/vi/uxuVeR3Hm9A/2.jpg;{"video": {"size": "big", "width":"625", "height":"376", "url":"https://youtube.com/watch?v=uxuVeR3Hm9A", "id":"4357222_9632991", "length":"No image found", "published":"2016-09-16 15:15:53"}}
